subject_zooniverse_subject_id,subject_zooniverse_id,subject_original_identifier,sighting_x,sighting_y,sighting_type,sighting_subtype,sighting_frame,sighting_timestamp,sighting_id,sighting_missed,sighting_inverted,sighting_auto_gen,class_zooniverse_id,class_start,class_end,class_user
528cefef3ae7409db900000e,AAZ000000e,01_12DEC02_FL0202_0001-25,180,179,asteroid,,0,2014-01-17 09:06:53 -0600,1,,,,526794fafe16d9696601dd2c,2014-01-17 09:06:23 -0600,2014-01-17 09:15:00 -0600,511410e53ae740c3ec000002
528cefef3ae7409db900000e,AAZ000000e,01_12DEC02_FL0202_0002-25,185,184,asteroid,,1,2014-01-17 09:07:23 -0600,1,,,,526794fafe16d9696601dd2c,2014-01-17 09:06:23 -0600,2014-01-17 09:15:00 -0600,511410e53ae740c3ec000002
528cefef3ae7409db900000e,AAZ000000e,01_12DEC02_FL0202_0003-25,190,189,asteroid,,2,2014-01-17 09:07:53 -0600,1,,,,526794fafe16d9696601dd2c,2014-01-17 09:06:23 -0600,2014-01-17 09:15:00 -0600,511410e53ae740c3ec000002
528cefef3ae7409db900000e,AAZ000000e,01_12DEC02_FL0202_0004-25,195,194,asteroid,,3,2014-01-17 09:08:23 -0600,1,,,,526794fafe16d9696601dd2c,2014-01-17 09:06:23 -0600,2014-01-17 09:15:00 -0600,511410e53ae740c3ec000002
528cefef3ae7409db900000e,AAZ000000e,01_12DEC02_FL0202_0001-25,230,229,asteroid,,0,2014-01-17 09:13:20 -0600,2,,,,526794fafe16d9696601dd2c,2014-01-17 09:06:23 -0600,2014-01-17 09:15:00 -0600,511410e53ae740c3ec000002
528cefef3ae7409db900000e,AAZ000000e,01_12DEC02_FL0202_0002-25,235,234,asteroid,,1,2014-01-17 09:13:50 -0600,2,,,,526794fafe16d9696601dd2c,2014-01-17 09:06:23 -0600,2014-01-17 09:15:00 -0600,511410e53ae740c3ec000002
528cefef3ae7409db900000e,AAZ000000e,01_12DEC02_FL0202_0003-25,,,asteroid,,2,2014-01-17 09:14:20 -0600,2,1,,,526794fafe16d9696601dd2c,2014-01-17 09:06:23 -0600,2014-01-17 09:15:00 -0600,511410e53ae740c3ec000002
528cefef3ae7409db900000e,AAZ000000e,01_12DEC02_FL0202_0004-25,240,239,asteroid,,3,2014-01-17 09:14:50 -0600,2,,,,526794fafe16d9696601dd2c,2014-01-17 09:06:23 -0600,2014-01-17 09:15:00 -0600,511410e53ae740c3ec000002
528cefef3ae7409db900000e,AAZ000000e,01_12DEC02_FL0202_0001-25,280,279,asteroid,,0,2014-01-17 09:13:20 -0600,3,,,,526794fafe16d9696601dd2c,2014-01-17 09:06:23 -0600,2014-01-17 09:15:00 -0600,511410e53ae740c3ec000002
528cefef3ae7409db900000e,AAZ000000e,01_12DEC02_FL0202_0002-25,285,284,asteroid,,1,2014-01-17 09:13:50 -0600,3,,,,526794fafe16d9696601dd2c,2014-01-17 09:06:23 -0600,2014-01-17 09:15:00 -0600,511410e53ae740c3ec000002
528cefef3ae7409db900000e,AAZ000000e,01_12DEC02_FL0202_0003-25,,,asteroid,,2,2014-01-17 09:14:20 -0600,3,1,,,526794fafe16d9696601dd2c,2014-01-17 09:06:23 -0600,2014-01-17 09:15:00 -0600,511410e53ae740c3ec000002
528cefef3ae7409db900000e,AAZ000000e,01_12DEC02_FL0202_0004-25,240,239,asteroid,,3,2014-01-17 09:14:50 -0600,3,,,,526794fafe16d9696601dd2c,2014-01-17 09:06:23 -0600,2014-01-17 09:15:00 -0600,511410e53ae740c3ec000002
528cefef3ae7409db900000e,AAZ000000e,01_12DEC02_FL0202_0001-25,180,179,artifact,bad_pixel_col,0,2014-01-17 09:06:53 -0600,4,,,,526794fafe16d9696601dd2c,2014-01-17 09:06:23 -0600,2014-01-17 09:15:00 -0600,511410e53ae740c3ec000002
528cefef3ae7409db900000e,AAZ000000e,01_12DEC02_FL0202_0002-25,185,184,artifact,bad_pixel_col,1,2014-01-17 09:07:23 -0600,4,,,1,526794fafe16d9696601dd2c,2014-01-17 09:06:23 -0600,2014-01-17 09:15:00 -0600,511410e53ae740c3ec000002
528cefef3ae7409db900000e,AAZ000000e,01_12DEC02_FL0202_0003-25,190,189,artifact,bad_pixel_col,2,2014-01-17 09:07:53 -0600,4,,,1,526794fafe16d9696601dd2c,2014-01-17 09:06:23 -0600,2014-01-17 09:15:00 -0600,511410e53ae740c3ec000002
528cefef3ae7409db900000e,AAZ000000e,01_12DEC02_FL0202_0004-25,195,194,artifact,bad_pixel_col,3,2014-01-17 09:08:23 -0600,4,,,1,526794fafe16d9696601dd2c,2014-01-17 09:06:23 -0600,2014-01-17 09:15:00 -0600,511410e53ae740c3ec000002
528cefef3ae7409db900002e,AAZ000001a,01_12DEC02_FL0202_0001-46,300,225,asteroid,,0,2014-01-17 09:14:50 -0600,1,,1,,526794fafe16d9696601dd2c,2014-01-17 09:06:23 -0600,2014-01-17 09:15:00 -0600,511410e53ae740c3ec000002
528cefef3ae7409db900002e,AAZ000001a,01_12DEC02_FL0202_0002-46,297,222,asteroid,,1,2014-01-17 09:06:53 -0600,1,,1,,526794fafe16d9696601dd2c,2014-01-17 09:06:23 -0600,2014-01-17 09:15:00 -0600,511410e53ae740c3ec000002
528cefef3ae7409db900002e,AAZ000001a,01_12DEC02_FL0202_0003-46,294,219,asteroid,,2,2014-01-17 09:07:23 -0600,1,,1,,526794fafe16d9696601dd2c,2014-01-17 09:06:23 -0600,2014-01-17 09:15:00 -0600,511410e53ae740c3ec000002
528cefef3ae7409db900002e,AAZ000001a,01_12DEC02_FL0202_0004-46,291,216,asteroid,,3,2014-01-17 09:07:53 -0600,1,,1,,526794fafe16d9696601dd2c,2014-01-17 09:06:23 -0600,2014-01-17 09:15:00 -0600,511410e53ae740c3ec000002
